Trade number,Type,Date and time,Signal,Price,Size (qty),Size (value),Net PnL NONE,Net PnL %,Favorable excursion NONE,Favorable excursion %,Adverse excursion NONE,Adverse excursion %,Cumulative PnL NONE,Cumulative PnL %
1,Exit long,2026-01-06 11:20,ATR_LONG,26156.1,38,996316.3,-2384.5,-0.24,53.2,0.01,-2540.3,-0.25,-2384.5,-0.24
1,Entry long,2026-01-06 11:10,Long,26218.85,38,996316.3,-2384.5,-0.24,53.2,0.01,-2540.3,-0.25,-2384.5,-0.24
2,Exit long,2026-01-07 09:15,3:15 Daily Exit,26160.5,38,995026.2,-927.2,-0.09,60.8,0.01,-927.2,-0.09,-3311.7,-0.33
2,Entry long,2026-01-06 15:25,Long,26184.9,38,995026.2,-927.2,-0.09,60.8,0.01,-927.2,-0.09,-3311.7,-0.33
3,Exit short,2026-01-07 11:05,ATR_SHORT,26179.7,38,993785.5,-1043.1,-0.10,1027.9,0.10,-1045,-0.11,-4354.8,-0.44
3,Entry short,2026-01-07 10:25,Short,26152.25,38,993785.5,-1043.1,-0.10,1027.9,0.10,-1045,-0.11,-4354.8,-0.44
4,Exit short,2026-01-14 14:40,ATR_SHORT,25658.05,38,977202.3,2196.4,0.22,4252.2,0.44,-102.6,-0.01,-2158.4,-0.22
4,Entry short,2026-01-14 13:30,Short,25715.85,38,977202.3,2196.4,0.22,4252.2,0.44,-102.6,-0.01,-2158.4,-0.22
5,Exit long,2026-01-16 11:20,ATR_LONG,25806.6,38,978583.6,2067.2,0.21,4609.4,0.47,-585.2,-0.06,-91.2,-0.01
5,Entry long,2026-01-16 09:55,Long,25752.2,38,978583.6,2067.2,0.21,4609.4,0.47,-585.2,-0.06,-91.2,-0.01
6,Exit long,2026-01-16 15:20,3:15 Daily Exit,25694.05,38,976788.1,-414.2,-0.04,589,0.06,-1426.9,-0.15,-505.4,-0.05
6,Entry long,2026-01-16 13:40,Long,25704.95,38,976788.1,-414.2,-0.04,589,0.06,-1426.9,-0.15,-505.4,-0.05
7,Exit long,2026-01-19 09:15,3:15 Daily Exit,25653.3,38,976600,-1774.6,-0.18,408.5,0.04,-1774.6,-0.18,-2280,-0.23
7,Entry long,2026-01-16 15:25,Long,25700,38,976600,-1774.6,-0.18,408.5,0.04,-1774.6,-0.18,-2280,-0.23
8,Exit long,2026-01-19 15:20,ATR_LONG,25573.55,39,996089.25,1279.2,0.13,3726.45,0.37,-1809.6,-0.18,-1000.8,-0.10
8,Entry long,2026-01-19 10:25,Long,25540.75,39,996089.25,1279.2,0.13,3726.45,0.37,-1809.6,-0.18,-1000.8,-0.10
9,Exit long,2026-01-20 13:35,ATR_LONG,25398.15,39,991756.35,-1228.5,-0.12,282.75,0.03,-1361.1,-0.14,-2229.3,-0.22
9,Entry long,2026-01-20 12:55,Long,25429.65,39,991756.35,-1228.5,-0.12,282.75,0.03,-1361.1,-0.14,-2229.3,-0.22
10,Exit short,2026-01-23 15:20,3:15 Daily Exit,25040.85,39,985370.1,8776.95,0.89,9383.4,0.95,-524.55,-0.05,6547.65,0.65
10,Entry short,2026-01-23 11:25,Short,25265.9,39,985370.1,8776.95,0.89,9383.4,0.95,-524.55,-0.05,6547.65,0.65
11,Exit short,2026-01-28 11:05,ATR_SHORT,25321,39,986282.7,-1236.3,-0.13,2207.4,0.22,-1292.85,-0.13,5311.35,0.53
