ts,run_id,approach,candidate,target,tf,params,train_sharpe,oos_sharpe,verdict,note
2026-07-13T23:38:58,mine_a_v1,gbt_rules,t2_decay1h/fold0,t2_decay1h,,"{""rule"": ""dte_days <= 1.0642 AND dte_days <= 0.2274"", ""precision"": 0.638, ""support"": 0.17}",,0.324,fold_rule,
2026-07-13T23:38:58,mine_a_v1,gbt_rules,t2_decay1h/fold1,t2_decay1h,,"{""rule"": ""dte_days <= 1.0747 AND dte_days <= 0.2378"", ""precision"": 0.633, ""support"": 0.179}",,1.296,fold_rule,
2026-07-13T23:38:58,mine_a_v1,gbt_rules,t2_decay1h/fold2,t2_decay1h,,"{""rule"": ""dte_days <= 1.0642 AND dte_days <= 0.2274"", ""precision"": 0.64, ""support"": 0.168}",,-0.838,fold_rule,
2026-07-13T23:38:58,mine_a_v1,gbt_rules,t2_decay1h/fold3,t2_decay1h,,"{""rule"": ""dte_days <= 1.0816 AND dte_days <= 0.2448"", ""precision"": 0.629, ""support"": 0.185}",,0.293,fold_rule,
2026-07-13T23:38:58,mine_a_v1,gbt_rules,t2_decay1h/fold4,t2_decay1h,,"{""rule"": ""dte_days <= 1.0816 AND dte_days <= 0.2448"", ""precision"": 0.635, ""support"": 0.186}",,1.388,fold_rule,
2026-07-13T23:39:01,mine_a_v1,gbt_rules,t2_decay1h/consensus,t2_decay1h,,"{""rule"": ""dte_days <= 0.6545""}",,0.057,consensus p=0.650 dsr=0.014,
2026-07-13T23:39:02,mine_a_v1,gbt_rules,t3_orblong/fold0,t3_orblong,,,,,no_leaf_passed_lift,
2026-07-13T23:39:02,mine_a_v1,gbt_rules,t3_orblong/fold1,t3_orblong,,,,,no_leaf_passed_lift,
2026-07-13T23:39:02,mine_a_v1,gbt_rules,t3_orblong/fold2,t3_orblong,,,,,no_leaf_passed_lift,
2026-07-13T23:39:02,mine_a_v1,gbt_rules,t3_orblong/fold3,t3_orblong,,,,,no_leaf_passed_lift,
2026-07-13T23:39:02,mine_a_v1,gbt_rules,t3_orblong/fold4,t3_orblong,,,,,no_leaf_passed_lift,
2026-07-13T23:39:02,mine_a_v1,gbt_rules,t3_orblong/consensus,t3_orblong,,,,,unstable_reject,
2026-07-13T23:39:57,mine_a_v1,gbt_rules,t2_decay1h/fold0,t2_decay1h,,"{""rule"": ""dte_days <= 1.0642 AND dte_days <= 0.2274"", ""precision"": 0.638, ""support"": 0.17}",,0.324,fold_rule,
2026-07-13T23:39:57,mine_a_v1,gbt_rules,t2_decay1h/fold1,t2_decay1h,,"{""rule"": ""dte_days <= 1.0747 AND dte_days <= 0.2378"", ""precision"": 0.633, ""support"": 0.179}",,1.296,fold_rule,
2026-07-13T23:39:57,mine_a_v1,gbt_rules,t2_decay1h/fold2,t2_decay1h,,"{""rule"": ""dte_days <= 1.0642 AND dte_days <= 0.2274"", ""precision"": 0.64, ""support"": 0.168}",,-0.838,fold_rule,
2026-07-13T23:39:57,mine_a_v1,gbt_rules,t2_decay1h/fold3,t2_decay1h,,"{""rule"": ""dte_days <= 1.0816 AND dte_days <= 0.2448"", ""precision"": 0.629, ""support"": 0.185}",,0.293,fold_rule,
2026-07-13T23:39:57,mine_a_v1,gbt_rules,t2_decay1h/fold4,t2_decay1h,,"{""rule"": ""dte_days <= 1.0816 AND dte_days <= 0.2448"", ""precision"": 0.635, ""support"": 0.186}",,1.388,fold_rule,
2026-07-13T23:40:01,mine_a_v1,gbt_rules,t2_decay1h/consensus,t2_decay1h,,"{""rule"": ""dte_days <= 0.2378""}",,0.177,consensus p=0.528 dsr=0.001,
2026-07-13T23:40:01,mine_a_v1,gbt_rules,t3_orblong/fold0,t3_orblong,,,,,no_leaf_passed_lift,
2026-07-13T23:40:01,mine_a_v1,gbt_rules,t3_orblong/fold1,t3_orblong,,,,,no_leaf_passed_lift,
2026-07-13T23:40:01,mine_a_v1,gbt_rules,t3_orblong/fold2,t3_orblong,,,,,no_leaf_passed_lift,
2026-07-13T23:40:01,mine_a_v1,gbt_rules,t3_orblong/fold3,t3_orblong,,,,,no_leaf_passed_lift,
2026-07-13T23:40:01,mine_a_v1,gbt_rules,t3_orblong/fold4,t3_orblong,,,,,no_leaf_passed_lift,
2026-07-13T23:40:01,mine_a_v1,gbt_rules,t3_orblong/consensus,t3_orblong,,,,,unstable_reject,
