mode,struct,wing,entry_dt,exit_dt,iv_rank,credit,max_loss,pnl,points,fee,slip,breached,loss,reason,spot_in,spot_out,held_days
cycle_start,iron_fly,5,2021-07-02,2021-07-08,,9766.2,6483.8,-3654.6,-52.3,216.4,38.7,True,True,Expiry ITM guard,15666.5,15870.9,6
cycle_start,iron_fly,5,2021-07-09,2021-07-15,,10192.0,6058.0,-3740.9,-53.5,219.7,43.7,True,True,Expiry ITM guard,15646.8,15876.9,6
cycle_start,iron_fly,5,2021-07-16,2021-07-22,,8918.0,7332.0,-4153.7,-60.05,213.8,36.6,True,True,Expiry ITM guard,15940.5,15752.3,6
cycle_start,iron_fly,5,2021-07-23,2021-07-29,,9012.2,7237.8,2707.8,45.25,207.9,25.5,True,False,Expiry ITM guard,15863.6,15773.9,6
cycle_start,iron_fly,5,2021-07-30,2021-08-05,0.143,9278.8,6971.2,-7408.8,-108.9,241.8,88.5,True,True,Expiry ITM guard,15785.7,16267.3,6
cycle_start,iron_fly,5,2021-08-06,2021-08-12,0.308,9740.2,6509.8,5409.4,86.9,210.4,28.6,True,False,Target %credit,16320.6,16324.0,6
cycle_start,iron_fly,5,2021-08-13,2021-08-26,0.097,8879.0,7371.0,-1520.7,-19.65,211.6,31.8,True,True,Expiry ITM guard,16425.4,16619.3,13
cycle_start,iron_fly,5,2021-08-27,2021-09-02,0.15,9616.8,6633.2,-6538.4,-95.5,242.1,88.8,True,True,Expiry ITM guard,16628.4,17111.6,6
cycle_start,iron_fly,5,2021-09-03,2021-09-09,0.311,10387.0,5863.0,4865.0,78.65,213.9,33.4,True,False,Expiry ITM guard,17291.0,17345.8,6
cycle_start,iron_fly,5,2021-09-13,2021-09-16,0.62,9535.5,6714.5,-3675.1,-52.6,216.2,39.9,True,True,Expiry ITM guard,17337.1,17568.3,3
cycle_start,iron_fly,5,2021-09-17,2021-09-23,0.167,10504.0,5746.0,3304.1,54.7,215.4,36.0,True,False,Expiry ITM guard,17737.7,17657.7,6
cycle_start,iron_fly,5,2021-09-24,2021-09-30,0.576,11154.0,5096.0,-1262.6,-15.1,227.7,53.4,True,True,Expiry ITM guard,17914.7,17687.6,6
cycle_start,iron_fly,5,2021-10-01,2021-10-07,0.767,12190.7,4059.3,-2997.8,-41.55,237.7,59.4,True,True,Expiry ITM guard,17502.6,17790.2,6
cycle_start,iron_fly,5,2021-10-08,2021-10-14,0.4,11261.2,4988.8,-5276.9,-76.05,244.9,88.8,True,True,Expiry ITM guard,17872.8,18283.6,6
cycle_start,iron_fly,5,2021-10-18,2021-10-21,0.533,10500.8,5749.2,301.8,8.65,218.5,42.0,True,False,Expiry ITM guard,18484.6,18335.4,3
cycle_start,iron_fly,5,2021-10-22,2021-10-28,0.4,11592.8,4657.2,3465.3,57.4,224.5,41.2,True,False,Expiry ITM guard,18248.2,18141.8,6
cycle_start,iron_fly,5,2021-10-29,2021-11-11,0.95,12632.8,3617.2,-2276.2,-29.85,249.0,86.9,True,True,Expiry ITM guard,17669.8,17951.7,13
cycle_start,iron_fly,5,2021-11-12,2021-11-18,0.167,11228.8,5021.2,5200.5,83.95,217.4,38.9,True,False,Expiry ITM guard,17953.9,17933.3,6
cycle_start,iron_fly,5,2021-11-22,2021-11-25,0.65,11459.5,4790.5,-473.1,-2.9,227.6,57.0,True,True,Expiry ITM guard,17632.7,17440.8,3
cycle_start,iron_fly,5,2021-11-26,2021-12-02,0.367,11774.7,4475.3,3874.8,63.75,226.0,43.0,True,False,Expiry ITM guard,17295.3,17225.4,6
cycle_start,iron_fly,5,2021-12-03,2021-12-09,0.317,11953.5,4296.5,4633.9,75.35,223.8,40.0,True,False,Expiry ITM guard,17458.2,17505.6,6
cycle_start,iron_fly,5,2021-12-10,2021-12-16,0.183,11709.8,4540.2,1618.8,29.1,225.6,47.1,True,False,Expiry ITM guard,17523.2,17344.4,6
cycle_start,iron_fly,5,2021-12-17,2021-12-23,0.15,11745.5,4504.5,1733.3,30.85,225.5,46.4,True,False,Expiry ITM guard,17182.7,17037.5,6
cycle_start,iron_fly,5,2021-12-24,2021-12-30,0.183,11495.2,4754.8,2794.5,47.05,221.8,41.9,True,False,Expiry ITM guard,17102.7,17203.6,6
cycle_start,iron_fly,5,2021-12-31,2022-01-06,0.05,11537.5,4712.5,-4818.9,-68.75,252.4,97.8,True,True,Expiry ITM guard,17298.1,17748.3,6
cycle_start,iron_fly,5,2022-01-07,2022-01-13,0.15,11739.0,4511.0,-4501.1,-64.4,245.6,69.5,True,True,Expiry ITM guard,17841.9,18238.8,6
cycle_start,iron_fly,5,2022-01-14,2022-01-20,0.033,11459.5,4790.5,-3303.7,-46.4,232.1,55.6,True,True,Expiry ITM guard,18181.0,17913.9,6
cycle_start,iron_fly,5,2022-01-21,2022-01-27,0.4,12558.0,3692.0,-2870.5,-38.3,275.5,105.4,True,True,Expiry ITM guard,17549.9,16979.9,6
cycle_start,iron_fly,5,2022-01-28,2022-02-03,0.917,13399.7,2850.3,-2748.0,-35.7,285.2,142.3,True,True,Expiry ITM guard,17239.3,17751.3,6
cycle_start,iron_fly,5,2022-02-04,2022-02-10,0.383,12164.7,4085.3,5225.2,84.55,226.9,43.6,True,False,Expiry ITM guard,17551.2,17500.8,6
cycle_start,iron_fly,5,2022-02-11,2022-02-17,0.133,11911.2,4338.8,5139.6,83.15,224.5,40.7,True,False,Expiry ITM guard,17404.6,17422.6,6
cycle_start,iron_fly,5,2022-02-18,2022-02-24,0.717,12967.5,3282.5,-3746.1,-50.8,291.7,152.4,True,True,Expiry ITM guard,17278.5,16673.3,6
cycle_start,iron_fly,5,2022-02-25,2022-03-03,0.883,13331.5,2918.5,2726.3,47.25,252.2,92.7,True,False,Expiry ITM guard,16587.9,16723.9,6
cycle_start,iron_fly,5,2022-03-04,2022-03-10,0.85,13695.5,2554.5,-2096.5,-25.85,280.6,135.6,True,True,Expiry ITM guard,16259.1,16679.8,6
cycle_start,iron_fly,5,2022-03-11,2022-03-17,0.633,13321.7,2928.3,-3361.4,-44.55,301.0,164.7,True,True,Expiry ITM guard,16574.3,17218.9,6
cycle_start,iron_fly,5,2022-03-21,2022-03-24,0.667,12619.8,3630.2,3016.0,50.9,236.5,56.0,True,False,Expiry ITM guard,17304.0,17155.9,3
cycle_start,iron_fly,5,2022-03-25,2022-03-31,0.333,12993.5,3256.5,-2408.4,-31.75,252.3,92.3,True,True,Expiry ITM guard,17202.1,17535.3,6
cycle_start,iron_fly,5,2022-04-01,2022-04-07,0.15,12301.3,3948.7,-1256.5,-14.85,235.3,55.9,True,True,Expiry ITM guard,17482.1,17735.9,6
cycle_start,iron_fly,5,2022-04-08,2022-04-13,0.117,11960.0,4290.0,6724.6,107.45,222.2,37.5,True,False,Target %credit,17672.4,17622.3,5
cycle_start,iron_fly,5,2022-04-22,2022-04-28,0.033,12018.5,4231.5,4520.7,73.65,225.0,41.5,True,False,Expiry ITM guard,17215.8,17122.8,6
cycle_start,iron_fly,5,2022-04-29,2022-05-05,0.017,11771.5,4478.5,-4392.9,-62.1,262.5,93.9,True,True,Expiry ITM guard,17341.8,16824.1,6
cycle_start,iron_fly,5,2022-05-06,2022-05-12,0.367,12756.2,3493.8,-3199.9,-43.85,262.2,87.5,True,True,Expiry ITM guard,16403.1,15959.6,6
cycle_start,iron_fly,5,2022-05-13,2022-05-19,0.383,12788.8,3461.2,4558.2,74.7,235.6,61.7,True,False,Expiry ITM guard,15966.7,15923.9,6
cycle_start,iron_fly,5,2022-05-20,2022-05-26,0.267,12886.2,3363.8,5078.8,82.55,234.6,52.3,True,False,Expiry ITM guard,16123.0,16086.2,6
cycle_start,iron_fly,5,2022-05-27,2022-06-02,0.283,12551.5,3698.5,2487.9,42.7,234.2,53.4,True,False,Expiry ITM guard,16315.4,16459.8,6
cycle_start,iron_fly,5,2022-06-03,2022-06-09,0.1,12249.3,4000.7,-4313.3,-60.85,265.0,93.0,True,True,Expiry ITM guard,16781.3,16286.2,6
cycle_start,iron_fly,5,2022-06-10,2022-06-16,0.083,12051.0,4199.0,-4434.4,-63.05,255.1,81.1,True,True,Expiry ITM guard,16309.8,15844.8,6
cycle_start,iron_fly,5,2022-06-17,2022-06-23,0.567,13100.8,3149.2,359.1,10.5,245.1,78.3,True,False,Expiry ITM guard,15259.7,15468.9,6
cycle_start,iron_fly,5,2022-06-24,2022-06-30,0.25,12385.7,3864.3,1536.5,28.05,233.7,53.1,True,False,Expiry ITM guard,15713.8,15853.8,6
cycle_start,iron_fly,5,2022-07-01,2022-07-07,0.217,12457.3,3792.7,-3548.3,-49.4,255.8,81.5,True,True,Expiry ITM guard,15712.5,16113.0,6
cycle_start,iron_fly,5,2022-07-08,2022-07-14,0.05,11872.2,4377.8,960.3,19.05,227.9,50.1,True,False,Expiry ITM guard,16210.3,16024.8,6
cycle_start,iron_fly,5,2022-07-15,2022-07-21,0.017,11456.2,4793.8,-5311.5,-76.1,256.0,109.1,True,True,Expiry ITM guard,16006.9,16513.8,6
cycle_start,iron_fly,5,2022-07-22,2022-07-28,0.017,11235.3,5014.7,3742.9,61.5,218.3,36.3,True,False,Expiry ITM guard,16695.7,16776.0,6
cycle_start,iron_fly,5,2022-07-29,2022-08-04,0.033,11534.2,4715.8,-4301.1,-61.2,241.3,81.9,True,True,Expiry ITM guard,17111.5,17465.1,6
cycle_start,iron_fly,5,2022-08-05,2022-08-11,0.167,12164.8,4085.2,-1634.4,-20.65,235.7,56.5,True,True,Expiry ITM guard,17439.3,17690.5,6
cycle_start,iron_fly,5,2022-08-12,2022-08-18,0.017,11092.2,5157.8,-4145.7,-59.2,232.2,65.6,True,True,Expiry ITM guard,17620.4,17914.2,6
cycle_start,iron_fly,5,2022-08-19,2022-08-25,0.017,11037.0,5213.0,-3575.8,-50.6,228.3,58.5,True,True,Expiry ITM guard,17973.7,17672.4,6
cycle_start,iron_fly,5,2022-08-26,2022-09-01,0.083,11557.0,4693.0,2875.6,48.45,223.7,49.9,True,False,Expiry ITM guard,17672.8,17552.8,6
cycle_start,iron_fly,5,2022-09-02,2022-09-08,0.267,12366.2,3883.8,2535.1,43.25,229.1,47.1,True,False,Expiry ITM guard,17601.9,17733.9,6
cycle_start,iron_fly,5,2022-09-09,2022-09-15,0.05,11579.8,4670.2,-292.3,-0.25,226.2,49.9,True,True,Expiry ITM guard,17891.2,18083.8,6
cycle_start,iron_fly,5,2022-09-16,2022-09-22,0.2,12307.8,3942.2,2423.2,41.6,231.1,49.7,True,False,Expiry ITM guard,17767.6,17623.6,6
